Process	Parent_process
Actin filament dynamics	Cytoskeleton dynamics
Ammonium metabolism	Amino acid metabolism
Amyloid generation and aggregation	Extracellular matrix homeostasis
Antigen presentation	Intracellular vesicle traffic
Apoptosis	Regulated cell death
Autophagy	Intracellular degradation pathways
Basement membrane dynamics	Extracellular matrix homeostasis
Blood protein dynamics	Coagulation cascade, complement system and blood protein dynamics
Bombesin receptor signaling	Cellular communication
Carbohydrate metabolism and transport	Energy generation and metabolism of cellular monomers
Cardiomyocyte action potential generation and propagation	Neurotransmission
Cell Scenescence	Cell cycle and cell division
Cell-cell junction organization	Cell junction dynamics
Cell-matrix adhesion organization	Cell junction dynamics
Cellular antioxidant systems	Cellular redox homeostasis
Cellular circadian clock dynamics at day	Cellular circadian clock dynamics
Cellular circadian clock dynamics at night	Cellular circadian clock dynamics
Cellular response to energy deprivation	Cellular response to stress
Cellular response to hypoxia	Cellular response to stress
Cellular response to oxidative stress	Cellular response to stress
Cellular response to radiation	Cellular response to stress
Centrosome cycle	Cell cycle and cell division
Chromatin remodeling	Chromatin and histone dynamics
Chromosome segregation by mitotic spindle	Cell cycle and cell division
Clock mediated apoptosis	Circadian clock mediated cellular regulation
Clock mediated control of cell differentiation	Circadian clock mediated cellular regulation
Clock mediated control of cell division	Circadian clock mediated cellular regulation
Clock mediated immune response	Circadian clock mediated cellular regulation
Coagulation cascade and its regulation	Coagulation cascade, complement system and blood protein dynamics
Collagen biosynthesis	Extracellular matrix homeostasis
Complement pathway and regulation	Coagulation cascade, complement system and blood protein dynamics
Control of postsynaptic potential	Neurotransmission
Cortical cytoskeleton dynamics	Cytoskeleton dynamics
Cytokinesis	Cell cycle and cell division
Cytoplasmic intermediate filament and septin dynamics	Cytoskeleton dynamics
Cytoplasmic post-translational protein modification	Posttranslational protein modification
Degradation by lysosomal enzymes	Intracellular degradation pathways
DNA double-strand break repair	DNA replication, recombination and repair
DNA interstrand cross-links repair	DNA replication, recombination and repair
DNA recombination	DNA replication, recombination and repair
DNA single-strand break repair	DNA replication, recombination and repair
Drug and toxin export	Cellular detoxification
Elastogenesis	Extracellular matrix homeostasis
Endocytic pathway	Intracellular vesicle traffic
Endoplasmic reticulum and nuclear envelope organization	Organelle organization
Endoplasmic reticulum membrane protein insertion and import	Transmembrane protein import and translocation
Epidermal growth factor family signaling	Cellular communication
Eukaryotic cilium and flagellum organization	Cellular protrusion organization
Eukaryotic DNA replication	DNA replication, recombination and repair
Extracellular matrix breakdown	Extracellular matrix homeostasis
Fatty acid metabolism	Lipid metabolism
Fibronectin matrix dynamics	Extracellular matrix homeostasis
Filopodium and lamellipodium organization	Cellular protrusion organization
Free radical generation for respiratory burst	Cellular redox homeostasis
Gastrointestinal hormone signaling	Cellular communication
Glycosaminoglycan synthesis	Extracellular matrix homeostasis
Heme and hemoglobin metabolism	Iron, heme and hemoglobin homeostasis
